name,description,category
Inception,A thief who enters dreams to steal secrets,Sci-Fi
The Matrix,A hacker discovers the truth about his reality,Sci-Fi
Interstellar,A group of astronauts travel through a wormhole,Sci-Fi
The Dark Knight,Batman faces the Joker in Gotham City,Action
Pulp Fiction,Interwoven stories of crime and redemption,Crime
Titanic,A romance set against the sinking of the Titanic,Romance
The Godfather,The rise of a mafia family,Crime
Forrest Gump,A man witnesses historical events,Drama
The Shawshank Redemption,A banker is imprisoned for a crime he didn't commit,Drama
Avatar,Humans colonize an alien planet,Sci-Fi
Gladiator,A betrayed general seeks revenge in Rome,Action
The Lion King,A lion cub discovers his destiny,Animation
Toy Story,Toys come to life when humans aren't watching,Animation
Finding Nemo,A father fish searches for his son,Animation
The Avengers,Superheroes unite to save the world,Action
The Silence of the Lambs,A detective seeks help from a serial killer,Thriller
Jurassic Park,Scientists clone dinosaurs with unexpected consequences,Adventure
Star Wars: A New Hope,A farm boy joins a rebellion against an empire,Sci-Fi
The Lord of the Rings: The Fellowship of the Ring,A hobbit embarks on a journey to destroy a ring,Fantasy
Spider-Man,A teenager gains spider-like abilities,Action
